rgn_id,r0_label,r1_label,r2_label,rgn_label,rgn_label_2,year,score_wgi_scale,score,gap_fill
244,World,Latin America and the Caribbean,Caribbean,Curacao,Curacao,2018,0.815659318,0.663131864,6
244,World,Latin America and the Caribbean,Caribbean,Curacao,Curacao,NA,NA,NA,NA
245,World,Latin America and the Caribbean,Caribbean,Bonaire,Bonaire,2018,0.815659318,0.663131864,6
245,World,Latin America and the Caribbean,Caribbean,Bonaire,Bonaire,NA,NA,NA,NA
247,World,Asia,South-Eastern Asia,Brunei,Brunei,NA,NA,NA,NA
248,World,Latin America and the Caribbean,Caribbean,Saba,Saba,2018,0.815659318,0.663131864,6
248,World,Latin America and the Caribbean,Caribbean,Saba,Saba,NA,NA,NA,NA
249,World,Latin America and the Caribbean,Caribbean,Sint Eustatius,Sint Eustatius,2018,0.815659318,0.663131864,6
249,World,Latin America and the Caribbean,Caribbean,Sint Eustatius,Sint Eustatius,NA,NA,NA,NA
250,World,Latin America and the Caribbean,Caribbean,Aruba,Aruba,2018,1.188863667,0.737772733,0
255,World,disputed,disputed,disputed,disputed,NA,NA,NA,NA
260,World,Arctic Sea,Arctic Sea,Arctic Sea,abnj,NA,NA,NA,NA
261,World,Atlantic Ocean,Atlantic Northwest,Atlantic Northwest,abnj,NA,NA,NA,NA
262,World,Atlantic Ocean,Atlantic Northeast,Atlantic Northeast,abnj,NA,NA,NA,NA
263,World,Atlantic Ocean,Atlantic Western Central,Atlantic Western Central,abnj,NA,NA,NA,NA
264,World,Atlantic Ocean,Atlantic Eastern Central,Atlantic Eastern Central,abnj,NA,NA,NA,NA
266,World,Atlantic Ocean,Atlantic Southwest,Atlantic Southwest,abnj,NA,NA,NA,NA
267,World,Atlantic Ocean,Atlantic Southeast,Atlantic Southeast,abnj,NA,NA,NA,NA
269,World,Indian Ocean,Indian Ocean Western,Indian Ocean Western,abnj,NA,NA,NA,NA
270,World,Indian Ocean,Indian Ocean Eastern,Indian Ocean Eastern,abnj,NA,NA,NA,NA
272,World,Pacific Ocean,Pacific Northwest,Pacific Northwest,abnj,NA,NA,NA,NA
273,World,Pacific Ocean,Pacific Northeast,Pacific Northeast,abnj,NA,NA,NA,NA
274,World,Pacific Ocean,Pacific Western Central,Pacific Western Central,abnj,NA,NA,NA,NA
275,World,Pacific Ocean,Pacific Eastern Central,Pacific Eastern Central,abnj,NA,NA,NA,NA
276,World,Pacific Ocean,Pacific Southwest,Pacific Southwest,abnj,NA,NA,NA,NA
277,World,Pacific Ocean,Pacific Southeast,Pacific Southeast,abnj,NA,NA,NA,NA
NA,NA,NA,NA,NA,Afghanistan,2018,-1.582749117,0.183450177,0
NA,NA,NA,NA,NA,Andorra,2018,1.412378333,0.782475667,0
NA,NA,NA,NA,NA,Armenia,2018,-0.13107685,0.47378463,0
NA,NA,NA,NA,NA,Austria,2018,1.4613917,0.79227834,0
NA,NA,NA,NA,NA,Azerbaijan,2018,-0.684123233,0.363175353,0
NA,NA,NA,NA,NA,"Bahamas, The",2018,0.5976843,0.61953686,0
NA,NA,NA,NA,NA,Belarus,2018,-0.497261117,0.400547777,0
