iucn_sid,sciname,kingdom,phylum,category,tot_count_cells,num_countries,xbd
39380,Negaprion brevirostris,ANIMALIA,CHORDATA,NT,60632,68,transboundary
39381,Prionace glauca,ANIMALIA,CHORDATA,NT,2782257,191,transboundary
39382,Rhizoprionodon terraenovae,ANIMALIA,CHORDATA,LC,12092,5,transboundary
39383,Scoliodon laticaudus,ANIMALIA,CHORDATA,NT,58753,32,transboundary
39384,Triaenodon obesus,ANIMALIA,CHORDATA,NT,276063,86,transboundary
39385,Sphyrna lewini,ANIMALIA,CHORDATA,EN,270283,112,transboundary
39386,Sphyrna mokarran,ANIMALIA,CHORDATA,EN,194387,130,transboundary
39387,Sphyrna tiburo,ANIMALIA,CHORDATA,LC,27172,26,transboundary
39388,Sphyrna zygaena,ANIMALIA,CHORDATA,VU,81957,117,transboundary
39389,Anoxypristis cuspidata,ANIMALIA,CHORDATA,EN,40923,12,transboundary
39390,Pristis clavata,ANIMALIA,CHORDATA,EN,9768,1,singlecountry
39393,Pristis zijsron,ANIMALIA,CHORDATA,CR,35556,16,transboundary
39394,Rhynchobatus djiddensis,ANIMALIA,CHORDATA,CR,3605,13,transboundary
39396,Tetronarce californica,ANIMALIA,CHORDATA,LC,4297,3,transboundary
39397,Dipturus batis,ANIMALIA,CHORDATA,CR,29343,33,transboundary
39399,Raja clavata,ANIMALIA,CHORDATA,NT,52509,67,transboundary
39400,Raja microocellata,ANIMALIA,CHORDATA,NT,5152,11,transboundary
39412,Taeniura lymma,ANIMALIA,CHORDATA,NT,22467,40,transboundary
39413,Urogymnus asperrimus,ANIMALIA,CHORDATA,VU,68106,47,transboundary
39415,Aetobatus narinari,ANIMALIA,CHORDATA,NT,254252,127,transboundary
39416,Myliobatis californicus,ANIMALIA,CHORDATA,LC,2142,2,transboundary
39418,Mobula mobular,ANIMALIA,CHORDATA,EN,17492,21,transboundary
