species_id,sciname,kingdom,phylum,class,tot_count_cells,num_eez,xbd,category,tax_group,eez_bins_2
154678,Apogon sealei,ANIMALIA,CHORDATA,ACTINOPTERYGII,44942,11,transboundary,LC,Vertebrate,"[10,25)"
154680,Dentex barnardi,ANIMALIA,CHORDATA,ACTINOPTERYGII,1352,6,transboundary,LC,Vertebrate,"[3,10)"
154681,Oplegnathus insignis,ANIMALIA,CHORDATA,ACTINOPTERYGII,1238,3,transboundary,DD,Vertebrate,"[3,10)"
154682,Pristipomoides freemani,ANIMALIA,CHORDATA,ACTINOPTERYGII,13090,14,transboundary,LC,Vertebrate,"[10,25)"
154684,Stegastes fuscus,ANIMALIA,CHORDATA,ACTINOPTERYGII,3830,1,singlecountry,LC,Vertebrate,"[1,2)"
154688,Apogon semilineatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,6813,6,transboundary,DD,Vertebrate,"[3,10)"
154691,Synchiropus claudiae,ANIMALIA,CHORDATA,ACTINOPTERYGII,2194,2,transboundary,LC,Vertebrate,"[2,3)"
154692,Schindleria brevipinguis,ANIMALIA,CHORDATA,ACTINOPTERYGII,289,1,singlecountry,LC,Vertebrate,"[1,2)"
154694,Blennodesmus scapularis,ANIMALIA,CHORDATA,ACTINOPTERYGII,4779,1,singlecountry,LC,Vertebrate,"[1,2)"
154695,Luzonichthys earlei,ANIMALIA,CHORDATA,ACTINOPTERYGII,1014,4,transboundary,LC,Vertebrate,"[3,10)"
154696,Grammonus robustus,ANIMALIA,CHORDATA,ACTINOPTERYGII,16069,13,transboundary,LC,Vertebrate,"[10,25)"
154697,Xyrichtys martinicensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,12311,35,transboundary,LC,Vertebrate,"[25,51)"
154700,Enneapterygius namarrgon,ANIMALIA,CHORDATA,ACTINOPTERYGII,1721,1,singlecountry,EN,Vertebrate,"[1,2)"
154701,Pseudolabrus luculentus,ANIMALIA,CHORDATA,ACTINOPTERYGII,666,3,transboundary,LC,Vertebrate,"[3,10)"
154702,Coryphaenoides nasutus,ANIMALIA,CHORDATA,ACTINOPTERYGII,6892,5,transboundary,LC,Vertebrate,"[3,10)"
154703,Siganus magnificus,ANIMALIA,CHORDATA,ACTINOPTERYGII,1344,2,transboundary,LC,Vertebrate,"[2,3)"
154704,Johnius laevis,ANIMALIA,CHORDATA,ACTINOPTERYGII,7102,5,transboundary,DD,Vertebrate,"[3,10)"
154705,Lethrinus enigmaticus,ANIMALIA,CHORDATA,ACTINOPTERYGII,539,1,singlecountry,LC,Vertebrate,"[1,2)"
154706,Scarus dubius,ANIMALIA,CHORDATA,ACTINOPTERYGII,248,1,singlecountry,LC,Vertebrate,"[1,2)"
154707,Polydactylus multiradiatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,13140,3,transboundary,LC,Vertebrate,"[3,10)"
154708,Diplodus cervinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,9665,25,transboundary,LC,Vertebrate,"[25,51)"
154709,Hetereleotris vulgaris,ANIMALIA,CHORDATA,ACTINOPTERYGII,6624,17,transboundary,LC,Vertebrate,"[10,25)"
154712,Coryphaena hippurus,ANIMALIA,CHORDATA,ACTINOPTERYGII,2193707,178,transboundary,LC,Vertebrate,"[51,221]"
154713,Stathmonotus sinuscalifornici,ANIMALIA,CHORDATA,ACTINOPTERYGII,491,1,singlecountry,LC,Vertebrate,"[1,2)"
154714,Erotelis armiger,ANIMALIA,CHORDATA,ACTINOPTERYGII,2606,7,transboundary,DD,Vertebrate,"[3,10)"
154717,Anchoa choerostoma,ANIMALIA,CHORDATA,ACTINOPTERYGII,9,1,singlecountry,EN,Vertebrate,"[1,2)"
154718,Parma victoriae,ANIMALIA,CHORDATA,ACTINOPTERYGII,5083,1,singlecountry,LC,Vertebrate,"[1,2)"
154719,Paracheilinus togeanensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,177,1,singlecountry,LC,Vertebrate,"[1,2)"
154720,Suezichthys bifurcatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,1996,1,singlecountry,DD,Vertebrate,"[1,2)"
