iucn_sid,sciname,category,kingdom,phylum,class
39361,Triakis acutipinna,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39362,Triakis megalopterus,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39363,Triakis semifasciata,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39365,Carcharhinus amblyrhynchos,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39366,Carcharhinus amboinensis,DD,ANIMALIA,CHORDATA,CHONDRICHTHYES
39367,Carcharhinus borneensis,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39368,Carcharhinus brevipinna,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39369,Carcharhinus hemiodon,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39370,Carcharhinus falciformis,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39371,Carcharhinus leiodon,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39372,Carcharhinus leucas,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39374,Carcharhinus longimanus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39375,Carcharhinus melanopterus,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39378,Galeocerdo cuvier,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39379,Glyphis glyphis,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39380,Negaprion brevirostris,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39381,Prionace glauca,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39382,Rhizoprionodon terraenovae,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39383,Scoliodon laticaudus,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39384,Triaenodon obesus,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39385,Sphyrna lewini,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39386,Sphyrna mokarran,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39387,Sphyrna tiburo,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39388,Sphyrna zygaena,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39389,Anoxypristis cuspidata,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39390,Pristis clavata,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39393,Pristis zijsron,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39394,Rhynchobatus djiddensis,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39396,Tetronarce californica,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39397,Dipturus batis,CR,ANIMALIA,CHORDATA,CHONDRICHTHYES
39399,Raja clavata,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39400,Raja microocellata,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39412,Taeniura lymma,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39413,Urogymnus asperrimus,VU,ANIMALIA,CHORDATA,CHONDRICHTHYES
39415,Aetobatus narinari,NT,ANIMALIA,CHORDATA,CHONDRICHTHYES
39416,Myliobatis californicus,LC,ANIMALIA,CHORDATA,CHONDRICHTHYES
39418,Mobula mobular,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39771,Dipturus laevis,EN,ANIMALIA,CHORDATA,CHONDRICHTHYES
39773,Cephalopholis boenak,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII
39774,Cromileptes altivelis,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII
