kingdom,phylum,class_iucn,iucn_sid,iucn_sciname,iucn_sid_other,redlist_category,am_sid,am_sciname,class_am,am_sid_old
ANIMALIA,Chordata,Actinopterygii,185976,Elacatinus chancei,NA,LC,Fis-114973,Elacatinus chancei,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,185975,Elacatinus horsti,NA,LC,Fis-114974,Elacatinus horsti,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,185986,Elacatinus oceanops,NA,LC,Fis-114976,Elacatinus oceanops,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,185980,Elacatinus prochilos,NA,VU,Fis-114977,Elacatinus prochilos,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,185987,Elacatinus randalli,NA,LC,Fis-114978,Elacatinus randalli,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,185974,Elacatinus xanthiprora,NA,LC,Fis-114979,Elacatinus xanthiprora,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,177978,Acanthurus bariene,NA,LC,Fis-115360,Acanthurus bariene,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,48342436,Ecsenius isos,NA,LC,Fis-115418,Ecsenius isos,Actinopterygii,NA
ANIMALIA,Chordata,Chondrichthyes,161577,Arhynchobatis asperrimus,NA,DD,Fis-115472,Arhynchobatis asperrimus,Elasmobranchii,NA
ANIMALIA,Chordata,Chondrichthyes,161382,Bathyraja shuntovi,NA,DD,Fis-115474,Bathyraja shuntovi,Elasmobranchii,NA
ANIMALIA,Chordata,Actinopterygii,154955,Sillago indica,NA,DD,Fis-11562,Sillago indica,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,68332472,Koumansetta rainfordi,NA,LC,Fis-115656,Koumansetta rainfordi,Actinopterygii,NA
ANIMALIA,Chordata,Actinopterygii,15522095,Coelorinchus labiatus,NA,LC,Fis-115684,Coelorinchus labiatus,Actinopterygii,NA
ANIMALIA,Chordata,Chondrichthyes,161527,Breviraja colesi,NA,DD,Fis-115735,Breviraja colesi,Elasmobranchii,NA
ANIMALIA,Chordata,Chondrichthyes,161711,Cruriraja poeyi,NA,DD,Fis-115739,Cruriraja poeyi,Elasmobranchii,NA
ANIMALIA,Chordata,Chondrichthyes,60183,Chimaera cubana,NA,DD,Fis-115751,Chimaera cubana,Holocephali,NA
ANIMALIA,Chordata,Chondrichthyes,161712,Cruriraja atlantis,NA,DD,Fis-115966,Cruriraja atlantis,Elasmobranchii,NA
